,Overall,Category
ANALGESICS,0.235431702,Procedure/Medical History
LDH,3.174081673,Laboratory Tests
BONE,2.569345152,Metastases
ECOG_C,2.046365231,Clinical
ALB,7.765077362,Laboratory Tests
HB,3.528593402,Laboratory Tests
PSA,1.883272287,Laboratory Tests
ALP,2.081957187,Laboratory Tests
LYMPH_NODES,1.239111276,Procedure/Medical History
AGEGRP2,3.140223104,Clinical
BMI,1.732548914,Clinical
ALT,2.171483136,Laboratory Tests
AST,2.250326161,Laboratory Tests
CA,2.168376245,Laboratory Tests
CREAT,2.921332732,Laboratory Tests
NEU,4.000730781,Laboratory Tests
PLT,1.164317771,Laboratory Tests
TBILI,1.057102646,Laboratory Tests
TESTO,5.334024327,Laboratory Tests
WBC,4.689551306,Laboratory Tests
CREACL,0.255428463,Laboratory Tests
NA.,6.191619249,Laboratory Tests
MG,5.511611339,Laboratory Tests
PHOS,4.482290555,Laboratory Tests
TPRO,6.065343029,Laboratory Tests
RBC,0.385470127,Laboratory Tests
ANTI_ANDROGENS,-0.530147651,Procedure/Medical History
GLUCOCORTICOID,1.376262288,Procedure/Medical History
GONADOTROPIN,0.516388021,Procedure/Medical History
BISPHOSPHONATE,2.029931619,Procedure/Medical History
CORTICOSTEROID,1.29280296,Procedure/Medical History
IMIDAZOLE,0.058176076,Procedure/Medical History
ACE_INHIBITORS,0.203331759,Procedure/Medical History
BETA_BLOCKING,0.836247968,Procedure/Medical History
HMG_COA_REDUCT,1.302442724,Procedure/Medical History
ESTROGENS,2.673957891,Procedure/Medical History
ANTI_ESTROGENS,-0.055840759,Procedure/Medical History
ARTTHROM,0.511161471,Medical History
CEREBACC,-1.074777423,Medical History
CHF,1.421011703,Medical History
DVT,0.103299329,Medical History
DIAB,0.725798517,Medical History
GASTREFL,1.883818777,Medical History
GIBLEED,1.504574531,Medical History
MI,1.996240669,Medical History
PUD,-2.365390247,Medical History
PULMEMB,-1.0212259,Medical History
PATHFRAC,-2.766111867,Medical History
SPINCOMP,1.667658603,Medical History
COPD,-0.231275186,Medical History
MHBLOOD,1.481307321,Medical History
MHCARD,2.897596934,Medical History
MHCONGEN,-1.748911961,Medical History
MHEAR,-0.099278632,Medical History
MHENDO,1.340447876,Medical History
MHEYE,1.495594847,Medical History
MHGASTRO,1.184389639,Medical History
MHGEN,1.448033802,Medical History
MHHEPATO,1.655457233,Medical History
MHIMMUNE,0.89146825,Medical History
MHINFECT,-0.485913313,Medical History
MHINJURY,0.468328303,Medical History
MHINVEST,1.744187034,Medical History
MHMETAB,0.655566756,Medical History
MHMUSCLE,3.45754528,Medical History
MHNEOPLA,3.793033109,Medical History
MHNERV,1.090654051,Medical History
MHPSYCH,1.898664795,Medical History
MHRENAL,2.616810991,Medical History
MHRESP,-0.835254255,Medical History
MHSKIN,-0.052823493,Medical History
MHSOCIAL,3.919485695,Medical History
MHSURG,0.271823065,Medical History
MHVASC,4.347066576,Medical History
White,0.487975043,Clinical
Asian,0.065681004,Clinical
Other,-1.40131396,Clinical
Black,-0.453260156,Clinical
